window,series,start_date_D0,end_date_D0,start_date_D6M,end_date_D6M,start_date_D12M,end_date_D12M,vol_ann_%_D0,vol_ann_%_D6M,vol_ann_%_D12M,vol_ann_%_range,vol_ann_%_delta_D0_minus_D6M,vol_ann_%_delta_D0_minus_D12M,max_drawdown_%_D0,max_drawdown_%_D6M,max_drawdown_%_D12M,max_drawdown_%_range,max_drawdown_%_delta_D0_minus_D6M,max_drawdown_%_delta_D0_minus_D12M,pct_neg_months_%_D0,pct_neg_months_%_D6M,pct_neg_months_%_D12M,pct_neg_months_%_range,pct_neg_months_%_delta_D0_minus_D6M,pct_neg_months_%_delta_D0_minus_D12M,worst_month_%_D0,worst_month_%_D6M,worst_month_%_D12M,worst_month_%_range,worst_month_%_delta_D0_minus_D6M,worst_month_%_delta_D0_minus_D12M,sharpe_excess_cdi_D0,sharpe_excess_cdi_D6M,sharpe_excess_cdi_D12M,sharpe_excess_cdi_range,sharpe_excess_cdi_delta_D0_minus_D6M,sharpe_excess_cdi_delta_D0_minus_D12M,sortino_excess_cdi_D0,sortino_excess_cdi_D6M,sortino_excess_cdi_D12M,sortino_excess_cdi_range,sortino_excess_cdi_delta_D0_minus_D6M,sortino_excess_cdi_delta_D0_minus_D12M
15Y,PB,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,21.1,20.87,20.86,0.240000000000002,0.2300000000000004,0.240000000000002,-31.69,-31.72,-31.9,0.2099999999999973,0.0299999999999975,0.2099999999999973,40.33,41.99,42.54,2.210000000000001,-1.6600000000000037,-2.210000000000001,-27.48,-27.54,-27.64,0.1600000000000001,0.0599999999999987,0.1600000000000001,0.2949,0.2145,0.1855,0.1094,0.0804,0.1094,0.4146,0.2988,0.2569,0.1577,0.1158,0.1577
15Y,PC,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,23.72,22.82,22.58,1.1400000000000006,0.8999999999999986,1.1400000000000006,-42.61,-38.84,-39.16,3.769999999999996,-3.769999999999996,-3.450000000000003,42.54,45.3,44.75,2.759999999999998,-2.759999999999998,-2.210000000000001,-32.8,-32.7,-32.77,0.0999999999999943,-0.0999999999999943,-0.029999999999994,0.2238,0.1897,0.1985,0.0340999999999999,0.0340999999999999,0.0252999999999999,0.3293,0.2784,0.289,0.0509,0.0509,0.0403
15Y,SP500_PR,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,16.57,16.67,16.53,0.1400000000000005,-0.1000000000000014,0.0399999999999991,-27.13,-27.13,-27.13,0.0,0.0,0.0,37.02,35.91,35.91,1.1100000000000063,1.1100000000000063,1.1100000000000063,-13.59,-13.59,-13.59,0.0,0.0,0.0,0.6421,0.6767,0.693,0.0508999999999999,-0.0345999999999999,-0.0508999999999999,1.1055,1.1498,1.1779,0.0724,-0.0443,-0.0724
15Y,SP500_TR,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,16.63,16.73,16.58,0.1500000000000021,-0.1000000000000014,0.0500000000000007,-26.24,-26.24,-26.24,0.0,0.0,0.0,35.91,34.81,34.81,1.0999999999999943,1.0999999999999943,1.0999999999999943,-13.49,-13.49,-13.49,0.0,0.0,0.0,0.7523,0.788,0.8066,0.0543,-0.0357,-0.0543,1.3038,1.3513,1.3847,0.0808999999999999,-0.0474999999999998,-0.0808999999999999
20Y,CDI,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,0.94,0.98,1.04,0.1,-0.04,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20Y,IBOV,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,21.81,22.02,22.14,0.3300000000000018,-0.2100000000000008,-0.3300000000000018,-49.59,-49.59,-49.59,0.0,0.0,0.0,42.32,42.74,43.57,1.25,-0.4200000000000017,-1.25,-29.9,-29.9,-29.9,0.0,0.0,0.0,0.0364,0.0337,0.0174,0.019,0.0027,0.019,0.0518,0.0485,0.0252,0.0266,0.0032999999999999,0.0266
20Y,PA,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,18.55,19.46,19.58,1.0299999999999976,-0.91,-1.0299999999999976,-39.37,-39.68,-39.85,0.480000000000004,0.3100000000000023,0.480000000000004,39.0,39.83,39.42,0.8299999999999983,-0.8299999999999983,-0.4200000000000017,-23.08,-23.79,-24.45,1.370000000000001,0.7100000000000009,1.370000000000001,0.194,0.2103,0.2252,0.0312,-0.0162999999999999,-0.0312,0.27,0.2989,0.316,0.0459999999999999,-0.0288999999999999,-0.0459999999999999
20Y,PB,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,21.37,22.22,21.76,0.8499999999999979,-0.8499999999999979,-0.3900000000000005,-47.09,-47.53,-45.69,1.8400000000000036,0.4399999999999977,-1.4000000000000057,39.0,38.17,39.83,1.6599999999999966,0.8299999999999983,-0.8299999999999983,-27.72,-27.87,-27.64,0.2300000000000004,0.1500000000000021,-0.0799999999999983,0.2871,0.2887,0.2614,0.0272999999999999,-0.0015999999999999,0.0257,0.3713,0.3766,0.3495,0.0271,-0.0052999999999999,0.0218
20Y,PC,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,24.02,25.11,25.41,1.3900000000000006,-1.09,-1.3900000000000006,-51.91,-50.63,-49.73,2.18,-1.279999999999994,-2.18,43.15,43.98,44.4,1.25,-0.8299999999999983,-1.25,-31.73,-31.76,-31.74,0.0300000000000011,0.0300000000000011,0.009999999999998,0.2135,0.2392,0.2424,0.0289,-0.0257,-0.0289,0.2989,0.3493,0.3587,0.0598,-0.0504,-0.0598
20Y,SP500_PR,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,16.47,16.59,16.54,0.120000000000001,-0.120000000000001,-0.0700000000000002,-42.78,-42.78,-44.45,1.6700000000000017,0.0,1.6700000000000017,39.83,40.25,41.08,1.25,-0.4200000000000017,-1.25,-13.59,-13.59,-13.59,0.0,0.0,0.0,0.2735,0.2485,0.2113,0.0622,0.025,0.0622,0.4483,0.4107,0.3499,0.0983999999999999,0.0375999999999999,0.0983999999999999
