table,panel,window,series,field,observed,expected,match
T1,Painel B,15Y,Portfólio A (TR),cagr_15Y,"11,30","11,30",True
T1,Painel B,20Y,Portfólio A (TR),cagr_20Y,"12,94","12,94",True
T1,Painel B,25Y,Portfólio A (TR),cagr_25Y,"17,07","17,07",True
T1,Painel B,5Y,Portfólio B (TR),mult_5Y,"1,93","1,93",True
T1,Painel B,10Y,Portfólio B (TR),mult_10Y,"5,46","5,46",True
T1,Painel B,15Y,Portfólio B (TR),mult_15Y,"5,54","5,54",True
T1,Painel B,20Y,Portfólio B (TR),mult_20Y,"15,33","15,33",True
T1,Painel B,25Y,Portfólio B (TR),mult_25Y,"40,59","40,59",True
T1,Painel B,5Y,Portfólio B (TR),cagr_5Y,"14,18","14,18",True
T1,Painel B,10Y,Portfólio B (TR),cagr_10Y,"18,82","18,82",True
T1,Painel B,15Y,Portfólio B (TR),cagr_15Y,"12,30","12,30",True
T1,Painel B,20Y,Portfólio B (TR),cagr_20Y,"14,90","14,90",True
T1,Painel B,25Y,Portfólio B (TR),cagr_25Y,"16,26","16,26",True
T1,Painel B,5Y,Portfólio C (TR),mult_5Y,"2,29","2,29",True
T1,Painel B,10Y,Portfólio C (TR),mult_10Y,"5,20","5,20",True
T1,Painel B,15Y,Portfólio C (TR),mult_15Y,"5,08","5,08",True
T1,Painel B,20Y,Portfólio C (TR),mult_20Y,"12,37","12,37",True
T1,Painel B,25Y,Portfólio C (TR),mult_25Y,"47,98","47,98",True
T1,Painel B,5Y,Portfólio C (TR),cagr_5Y,"18,22","18,22",True
T1,Painel B,10Y,Portfólio C (TR),cagr_10Y,"18,24","18,24",True
T1,Painel B,15Y,Portfólio C (TR),cagr_15Y,"11,64","11,64",True
T1,Painel B,20Y,Portfólio C (TR),cagr_20Y,"13,66","13,66",True
T1,Painel B,25Y,Portfólio C (TR),cagr_25Y,"17,06","17,06",True
T1,Painel B,5Y,CDI (TR),mult_5Y,"1,60","1,60",True
T1,Painel B,10Y,CDI (TR),mult_10Y,"2,43","2,43",True
T1,Painel B,15Y,CDI (TR),mult_15Y,"3,94","3,94",True
T1,Painel B,20Y,CDI (TR),mult_20Y,"7,07","7,07",True
T1,Painel B,25Y,CDI (TR),mult_25Y,"16,65","16,65",True
T1,Painel B,5Y,CDI (TR),cagr_5Y,"9,92","9,92",True
T1,Painel B,10Y,CDI (TR),cagr_10Y,"9,34","9,34",True
T1,Painel B,15Y,CDI (TR),cagr_15Y,"9,61","9,61",True
T1,Painel B,20Y,CDI (TR),cagr_20Y,"10,31","10,31",True
T1,Painel B,25Y,CDI (TR),cagr_25Y,"11,95","11,95",True
T1,Painel B,5Y,Ibovespa (TR),mult_5Y,"1,31","1,31",True
T1,Painel B,10Y,Ibovespa (TR),mult_10Y,"2,75","2,75",True
T1,Painel B,15Y,Ibovespa (TR),mult_15Y,"2,02","2,02",True
T1,Painel B,20Y,Ibovespa (TR),mult_20Y,"5,01","5,01",True
T1,Painel B,25Y,Ibovespa (TR),mult_25Y,"8,07","8,07",True
T1,Painel B,5Y,Ibovespa (TR),cagr_5Y,"5,68","5,68",True
T1,Painel B,10Y,Ibovespa (TR),cagr_10Y,"10,84","10,84",True
T1,Painel B,15Y,Ibovespa (TR),cagr_15Y,"4,89","4,89",True
T1,Painel B,20Y,Ibovespa (TR),cagr_20Y,"8,55","8,55",True
T1,Painel B,25Y,Ibovespa (TR),cagr_25Y,"8,87","8,87",True
T1,Painel B,5Y,S&P 500 em BRL (PR),mult_5Y,"1,91","1,91",True
T1,Painel B,10Y,S&P 500 em BRL (PR),mult_10Y,"4,72","4,72",True
