table,panel,window,series,field,observed,expected,match
T2,D0,15Y,Ibovespa (TR),N,181,181,True
T2,D0,15Y,S&P 500 em BRL (PR),vol,"16,57","16,57",True
T2,D0,15Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D0,15Y,S&P 500 em BRL (PR),sharpe,"0,642","0,642",True
T2,D0,15Y,S&P 500 em BRL (PR),sortino,"1,092","1,092",True
T2,D0,15Y,S&P 500 em BRL (PR),neg,"37,02","37,02",True
T2,D0,15Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D0,15Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D0,15Y,S&P 500 em BRL (PR),N,181,181,True
T2,D0,15Y,S&P 500 em BRL (TR),vol,"16,63","16,63",True
T2,D0,15Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D0,15Y,S&P 500 em BRL (TR),sharpe,"0,752","0,752",True
T2,D0,15Y,S&P 500 em BRL (TR),sortino,"1,316","1,316",True
T2,D0,15Y,S&P 500 em BRL (TR),neg,"35,91","35,91",True
T2,D0,15Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D0,15Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D0,15Y,S&P 500 em BRL (TR),N,181,181,True
T2,D0,20Y,Portfólio A (TR),vol,"18,55","18,55",True
T2,D0,20Y,Portfólio A (TR),dd,"-39,37","-39,37",True
T2,D0,20Y,Portfólio A (TR),sharpe,"0,194","0,194",True
T2,D0,20Y,Portfólio A (TR),sortino,"0,275","0,275",True
T2,D0,20Y,Portfólio A (TR),neg,"39,00","39,00",True
T2,D0,20Y,Portfólio A (TR),worst,"-23,08","-23,08",True
T2,D0,20Y,Portfólio A (TR),best,"16,31","16,31",True
T2,D0,20Y,Portfólio A (TR),N,241,241,True
T2,D0,20Y,Portfólio B (TR),vol,"21,37","21,37",True
T2,D0,20Y,Portfólio B (TR),dd,"-47,09","-47,09",True
T2,D0,20Y,Portfólio B (TR),sharpe,"0,287","0,287",True
T2,D0,20Y,Portfólio B (TR),sortino,"0,398","0,398",True
T2,D0,20Y,Portfólio B (TR),neg,"39,00","39,00",True
T2,D0,20Y,Portfólio B (TR),worst,"-27,72","-27,72",True
T2,D0,20Y,Portfólio B (TR),best,"18,10","18,10",True
T2,D0,20Y,Portfólio B (TR),N,241,241,True
T2,D0,20Y,Portfólio C (TR),vol,"24,02","24,02",True
T2,D0,20Y,Portfólio C (TR),dd,"-51,91","-51,91",True
T2,D0,20Y,Portfólio C (TR),sharpe,"0,214","0,214",True
T2,D0,20Y,Portfólio C (TR),sortino,"0,303","0,303",True
T2,D0,20Y,Portfólio C (TR),neg,"43,15","43,15",True
T2,D0,20Y,Portfólio C (TR),worst,"-31,73","-31,73",True
T2,D0,20Y,Portfólio C (TR),best,"19,72","19,72",True
T2,D0,20Y,Portfólio C (TR),N,241,241,True
T2,D0,20Y,CDI (TR),vol,"0,94","0,94",True
T2,D0,20Y,CDI (TR),dd,"0,00","0,00",True
T2,D0,20Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D0,20Y,CDI (TR),sortino,"0,000","0,000",True
T2,D0,20Y,CDI (TR),neg,"0,00","0,00",True
T2,D0,20Y,CDI (TR),worst,"0,13","0,13",True
T2,D0,20Y,CDI (TR),best,"1,42","1,42",True
T2,D0,20Y,CDI (TR),N,241,241,True
T2,D0,20Y,Ibovespa (TR),vol,"21,81","21,81",True
T2,D0,20Y,Ibovespa (TR),dd,"-49,59","-49,59",True
T2,D0,20Y,Ibovespa (TR),sharpe,"0,036","0,036",True
T2,D0,20Y,Ibovespa (TR),sortino,"0,050","0,050",True
T2,D0,20Y,Ibovespa (TR),neg,"42,32","42,32",True
T2,D0,20Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D0,20Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D0,20Y,Ibovespa (TR),N,241,241,True
T2,D0,20Y,S&P 500 em BRL (PR),vol,"16,47","16,47",True
T2,D0,20Y,S&P 500 em BRL (PR),dd,"-42,78","-42,78",True
T2,D0,20Y,S&P 500 em BRL (PR),sharpe,"0,274","0,274",True
T2,D0,20Y,S&P 500 em BRL (PR),sortino,"0,416","0,416",True
T2,D0,20Y,S&P 500 em BRL (PR),neg,"39,83","39,83",True
T2,D0,20Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D0,20Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D0,20Y,S&P 500 em BRL (PR),N,241,241,True
T2,D0,20Y,S&P 500 em BRL (TR),vol,"16,52","16,52",True
T2,D0,20Y,S&P 500 em BRL (TR),dd,"-40,03","-40,03",True
T2,D0,20Y,S&P 500 em BRL (TR),sharpe,"0,389","0,389",True
T2,D0,20Y,S&P 500 em BRL (TR),sortino,"0,608","0,608",True
T2,D0,20Y,S&P 500 em BRL (TR),neg,"38,59","38,59",True
T2,D0,20Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D0,20Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D0,20Y,S&P 500 em BRL (TR),N,241,241,True
T2,D0,25Y,Portfólio A (TR),vol,"21,44","21,44",True
T2,D0,25Y,Portfólio A (TR),dd,"-44,22","-44,22",True
T2,D0,25Y,Portfólio A (TR),sharpe,"0,320","0,320",True
T2,D0,25Y,Portfólio A (TR),sortino,"0,480","0,480",True
T2,D0,25Y,Portfólio A (TR),neg,"41,86","41,86",True
T2,D0,25Y,Portfólio A (TR),worst,"-24,82","-24,82",True
T2,D0,25Y,Portfólio A (TR),best,"21,14","21,14",True
T2,D0,25Y,Portfólio A (TR),N,301,301,True
T2,D0,25Y,Portfólio B (TR),vol,"22,57","22,57",True
T2,D0,25Y,Portfólio B (TR),dd,"-52,48","-52,48",True
T2,D0,25Y,Portfólio B (TR),sharpe,"0,306","0,306",True
T2,D0,25Y,Portfólio B (TR),sortino,"0,439","0,439",True
T2,D0,25Y,Portfólio B (TR),neg,"38,54","38,54",True
T2,D0,25Y,Portfólio B (TR),worst,"-27,44","-27,44",True
T2,D0,25Y,Portfólio B (TR),best,"20,84","20,84",True
T2,D0,25Y,Portfólio B (TR),N,301,301,True
T2,D0,25Y,Portfólio C (TR),vol,"25,40","25,40",True
T2,D0,25Y,Portfólio C (TR),dd,"-55,78","-55,78",True
T2,D0,25Y,Portfólio C (TR),sharpe,"0,314","0,314",True
T2,D0,25Y,Portfólio C (TR),sortino,"0,462","0,462",True
T2,D0,25Y,Portfólio C (TR),neg,"41,20","41,20",True
T2,D0,25Y,Portfólio C (TR),worst,"-32,63","-32,63",True
T2,D0,25Y,Portfólio C (TR),best,"21,30","21,30",True
T2,D0,25Y,Portfólio C (TR),N,301,301,True
T2,D0,25Y,CDI (TR),vol,"1,28","1,28",True
T2,D0,25Y,CDI (TR),dd,"0,00","0,00",True
T2,D0,25Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D0,25Y,CDI (TR),sortino,"0,000","0,000",True
T2,D0,25Y,CDI (TR),neg,"0,00","0,00",True
T2,D0,25Y,CDI (TR),worst,"0,13","0,13",True
T2,D0,25Y,CDI (TR),best,"2,08","2,08",True
T2,D0,25Y,CDI (TR),N,301,301,True
T2,D0,25Y,Ibovespa (TR),vol,"23,25","23,25",True
T2,D0,25Y,Ibovespa (TR),dd,"-49,59","-49,59",True
T2,D0,25Y,Ibovespa (TR),sharpe,"0,046","0,046",True
T2,D0,25Y,Ibovespa (TR),sortino,"0,064","0,064",True
T2,D0,25Y,Ibovespa (TR),neg,"42,86","42,86",True
T2,D0,25Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D0,25Y,Ibovespa (TR),best,"17,92","17,92",True
T2,D0,25Y,Ibovespa (TR),N,301,301,True
T2,D0,25Y,S&P 500 em BRL (PR),vol,"16,71","16,71",True
T2,D0,25Y,S&P 500 em BRL (PR),dd,"-50,68","-50,68",True
T2,D0,25Y,S&P 500 em BRL (PR),sharpe,"0,035","0,035",True
T2,D0,25Y,S&P 500 em BRL (PR),sortino,"0,051","0,051",True
T2,D0,25Y,S&P 500 em BRL (PR),neg,"42,19","42,19",True
T2,D0,25Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D0,25Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D0,25Y,S&P 500 em BRL (PR),N,301,301,True
T2,D0,25Y,S&P 500 em BRL (TR),vol,"16,75","16,75",True
T2,D0,25Y,S&P 500 em BRL (TR),dd,"-45,82","-45,82",True
T2,D0,25Y,S&P 500 em BRL (TR),sharpe,"0,146","0,146",True
T2,D0,25Y,S&P 500 em BRL (TR),sortino,"0,217","0,217",True
T2,D0,25Y,S&P 500 em BRL (TR),neg,"41,20","41,20",True
T2,D0,25Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D0,25Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D0,25Y,S&P 500 em BRL (TR),N,301,301,True
T2,D-6m,5Y,Portfólio A (TR),vol,"17,36","17,36",True
T2,D-6m,5Y,Portfólio A (TR),dd,"-10,75","-10,75",True
T2,D-6m,5Y,Portfólio A (TR),sharpe,"0,411","0,411",True
T2,D-6m,5Y,Portfólio A (TR),sortino,"0,757","0,757",True
T2,D-6m,5Y,Portfólio A (TR),neg,"42,62","42,62",True
T2,D-6m,5Y,Portfólio A (TR),worst,"-7,13","-7,13",True
T2,D-6m,5Y,Portfólio A (TR),best,"18,01","18,01",True
T2,D-6m,5Y,Portfólio A (TR),N,61,61,True
T2,D-6m,5Y,Portfólio B (TR),vol,"18,32","18,32",True
T2,D-6m,5Y,Portfólio B (TR),dd,"-12,83","-12,83",True
T2,D-6m,5Y,Portfólio B (TR),sharpe,"0,288","0,288",True
T2,D-6m,5Y,Portfólio B (TR),sortino,"0,470","0,470",True
T2,D-6m,5Y,Portfólio B (TR),neg,"39,34","39,34",True
T2,D-6m,5Y,Portfólio B (TR),worst,"-8,82","-8,82",True
T2,D-6m,5Y,Portfólio B (TR),best,"17,35","17,35",True
T2,D-6m,5Y,Portfólio B (TR),N,61,61,True
T2,D-6m,5Y,Portfólio C (TR),vol,"21,26","21,26",True
T2,D-6m,5Y,Portfólio C (TR),dd,"-17,01","-17,01",True
T2,D-6m,5Y,Portfólio C (TR),sharpe,"0,431","0,431",True
T2,D-6m,5Y,Portfólio C (TR),sortino,"0,779","0,779",True
T2,D-6m,5Y,Portfólio C (TR),neg,"47,54","47,54",True
T2,D-6m,5Y,Portfólio C (TR),worst,"-10,06","-10,06",True
T2,D-6m,5Y,Portfólio C (TR),best,"19,39","19,39",True
T2,D-6m,5Y,Portfólio C (TR),N,61,61,True
T2,D-6m,5Y,CDI (TR),vol,"1,19","1,19",True
T2,D-6m,5Y,CDI (TR),dd,"0,00","0,00",True
T2,D-6m,5Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-6m,5Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-6m,5Y,CDI (TR),neg,"0,00","0,00",True
T2,D-6m,5Y,CDI (TR),worst,"0,11","0,11",True
T2,D-6m,5Y,CDI (TR),best,"1,28","1,28",True
T2,D-6m,5Y,CDI (TR),N,61,61,True
T2,D-6m,5Y,Ibovespa (TR),vol,"18,27","18,27",True
T2,D-6m,5Y,Ibovespa (TR),dd,"-22,29","-22,29",True
T2,D-6m,5Y,Ibovespa (TR),sharpe,"-0,126","-0,126",True
T2,D-6m,5Y,Ibovespa (TR),sortino,"-0,182","-0,182",True
T2,D-6m,5Y,Ibovespa (TR),neg,"45,90","45,90",True
T2,D-6m,5Y,Ibovespa (TR),worst,"-11,50","-11,50",True
T2,D-6m,5Y,Ibovespa (TR),best,"15,90","15,90",True
T2,D-6m,5Y,Ibovespa (TR),N,61,61,True
T2,D-6m,5Y,S&P 500 em BRL (PR),vol,"15,72","15,72",True
T2,D-6m,5Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-6m,5Y,S&P 500 em BRL (PR),sharpe,"0,297","0,297",True
T2,D-6m,5Y,S&P 500 em BRL (PR),sortino,"0,450","0,450",True
T2,D-6m,5Y,S&P 500 em BRL (PR),neg,"42,62","42,62",True
T2,D-6m,5Y,S&P 500 em BRL (PR),worst,"-9,05","-9,05",True
T2,D-6m,5Y,S&P 500 em BRL (PR),best,"10,92","10,92",True
T2,D-6m,5Y,S&P 500 em BRL (PR),N,61,61,True
T2,D-6m,5Y,S&P 500 em BRL (TR),vol,"15,74","15,74",True
T2,D-6m,5Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-6m,5Y,S&P 500 em BRL (TR),sharpe,"0,391","0,391",True
T2,D-6m,5Y,S&P 500 em BRL (TR),sortino,"0,606","0,606",True
T2,D-6m,5Y,S&P 500 em BRL (TR),neg,"42,62","42,62",True
T2,D-6m,5Y,S&P 500 em BRL (TR),worst,"-8,97","-8,97",True
T2,D-6m,5Y,S&P 500 em BRL (TR),best,"11,01","11,01",True
T2,D-6m,5Y,S&P 500 em BRL (TR),N,61,61,True
T2,D-6m,10Y,Portfólio A (TR),vol,"21,81","21,81",True
T2,D-6m,10Y,Portfólio A (TR),dd,"-32,47","-32,47",True
T2,D-6m,10Y,Portfólio A (TR),sharpe,"0,372","0,372",True
T2,D-6m,10Y,Portfólio A (TR),sortino,"0,585","0,585",True
T2,D-6m,10Y,Portfólio A (TR),neg,"39,67","39,67",True
T2,D-6m,10Y,Portfólio A (TR),worst,"-24,59","-24,59",True
T2,D-6m,10Y,Portfólio A (TR),best,"21,79","21,79",True
T2,D-6m,10Y,Portfólio A (TR),N,121,121,True
T2,D-6m,10Y,Portfólio B (TR),vol,"21,70","21,70",True
T2,D-6m,10Y,Portfólio B (TR),dd,"-31,72","-31,72",True
T2,D-6m,10Y,Portfólio B (TR),sharpe,"0,483","0,483",True
T2,D-6m,10Y,Portfólio B (TR),sortino,"0,716","0,716",True
T2,D-6m,10Y,Portfólio B (TR),neg,"38,02","38,02",True
T2,D-6m,10Y,Portfólio B (TR),worst,"-27,24","-27,24",True
T2,D-6m,10Y,Portfólio B (TR),best,"15,98","15,98",True
T2,D-6m,10Y,Portfólio B (TR),N,121,121,True
T2,D-6m,10Y,Portfólio C (TR),vol,"29,78","29,78",True
T2,D-6m,10Y,Portfólio C (TR),dd,"-38,30","-38,30",True
T2,D-6m,10Y,Portfólio C (TR),sharpe,"0,404","0,404",True
T2,D-6m,10Y,Portfólio C (TR),sortino,"0,632","0,632",True
T2,D-6m,10Y,Portfólio C (TR),neg,"42,15","42,15",True
T2,D-6m,10Y,Portfólio C (TR),worst,"-31,62","-31,62",True
T2,D-6m,10Y,Portfólio C (TR),best,"27,14","27,14",True
T2,D-6m,10Y,Portfólio C (TR),N,121,121,True
T2,D-6m,10Y,CDI (TR),vol,"1,12","1,12",True
T2,D-6m,10Y,CDI (TR),dd,"0,00","0,00",True
T2,D-6m,10Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-6m,10Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-6m,10Y,CDI (TR),neg,"0,00","0,00",True
T2,D-6m,10Y,CDI (TR),worst,"0,13","0,13",True
T2,D-6m,10Y,CDI (TR),best,"1,28","1,28",True
T2,D-6m,10Y,CDI (TR),N,121,121,True
T2,D-6m,10Y,Ibovespa (TR),vol,"21,66","21,66",True
T2,D-6m,10Y,Ibovespa (TR),dd,"-36,86","-36,86",True
T2,D-6m,10Y,Ibovespa (TR),sharpe,"0,168","0,168",True
T2,D-6m,10Y,Ibovespa (TR),sortino,"0,237","0,237",True
T2,D-6m,10Y,Ibovespa (TR),neg,"40,50","40,50",True
T2,D-6m,10Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-6m,10Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-6m,10Y,Ibovespa (TR),N,121,121,True
T2,D-6m,10Y,S&P 500 em BRL (PR),vol,"17,38","17,38",True
T2,D-6m,10Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-6m,10Y,S&P 500 em BRL (PR),sharpe,"0,460","0,460",True
T2,D-6m,10Y,S&P 500 em BRL (PR),sortino,"0,735","0,735",True
T2,D-6m,10Y,S&P 500 em BRL (PR),neg,"40,50","40,50",True
T2,D-6m,10Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-6m,10Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-6m,10Y,S&P 500 em BRL (PR),N,121,121,True
T2,D-6m,10Y,S&P 500 em BRL (TR),vol,"17,43","17,43",True
T2,D-6m,10Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-6m,10Y,S&P 500 em BRL (TR),sharpe,"0,560","0,560",True
T2,D-6m,10Y,S&P 500 em BRL (TR),sortino,"0,917","0,917",True
T2,D-6m,10Y,S&P 500 em BRL (TR),neg,"38,84","38,84",True
T2,D-6m,10Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-6m,10Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-6m,10Y,S&P 500 em BRL (TR),N,121,121,True
T2,D-6m,15Y,Portfólio A (TR),vol,"18,34","18,34",True
T2,D-6m,15Y,Portfólio A (TR),dd,"-31,81","-31,81",True
T2,D-6m,15Y,Portfólio A (TR),sharpe,"0,167","0,167",True
T2,D-6m,15Y,Portfólio A (TR),sortino,"0,244","0,244",True
T2,D-6m,15Y,Portfólio A (TR),neg,"38,67","38,67",True
T2,D-6m,15Y,Portfólio A (TR),worst,"-22,47","-22,47",True
T2,D-6m,15Y,Portfólio A (TR),best,"16,29","16,29",True
T2,D-6m,15Y,Portfólio A (TR),N,181,181,True
T2,D-6m,15Y,Portfólio B (TR),vol,"20,87","20,87",True
T2,D-6m,15Y,Portfólio B (TR),dd,"-31,72","-31,72",True
T2,D-6m,15Y,Portfólio B (TR),sharpe,"0,215","0,215",True
T2,D-6m,15Y,Portfólio B (TR),sortino,"0,304","0,304",True
T2,D-6m,15Y,Portfólio B (TR),neg,"41,99","41,99",True
T2,D-6m,15Y,Portfólio B (TR),worst,"-27,54","-27,54",True
T2,D-6m,15Y,Portfólio B (TR),best,"18,56","18,56",True
T2,D-6m,15Y,Portfólio B (TR),N,181,181,True
T2,D-6m,15Y,Portfólio C (TR),vol,"22,82","22,82",True
T2,D-6m,15Y,Portfólio C (TR),dd,"-38,84","-38,84",True
T2,D-6m,15Y,Portfólio C (TR),sharpe,"0,190","0,190",True
T2,D-6m,15Y,Portfólio C (TR),sortino,"0,272","0,272",True
T2,D-6m,15Y,Portfólio C (TR),neg,"45,30","45,30",True
T2,D-6m,15Y,Portfólio C (TR),worst,"-32,70","-32,70",True
T2,D-6m,15Y,Portfólio C (TR),best,"18,21","18,21",True
T2,D-6m,15Y,Portfólio C (TR),N,181,181,True
T2,D-6m,15Y,CDI (TR),vol,"0,97","0,97",True
T2,D-6m,15Y,CDI (TR),dd,"0,00","0,00",True
T2,D-6m,15Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-6m,15Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-6m,15Y,CDI (TR),neg,"0,00","0,00",True
T2,D-6m,15Y,CDI (TR),worst,"0,13","0,13",True
T2,D-6m,15Y,CDI (TR),best,"1,28","1,28",True
T2,D-6m,15Y,CDI (TR),N,181,181,True
T2,D-6m,15Y,Ibovespa (TR),vol,"20,88","20,88",True
T2,D-6m,15Y,Ibovespa (TR),dd,"-42,84","-42,84",True
T2,D-6m,15Y,Ibovespa (TR),sharpe,"-0,107","-0,107",True
T2,D-6m,15Y,Ibovespa (TR),sortino,"-0,145","-0,145",True
T2,D-6m,15Y,Ibovespa (TR),neg,"45,30","45,30",True
T2,D-6m,15Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-6m,15Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-6m,15Y,Ibovespa (TR),N,181,181,True
T2,D-6m,15Y,S&P 500 em BRL (PR),vol,"16,67","16,67",True
T2,D-6m,15Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D-6m,15Y,S&P 500 em BRL (PR),sharpe,"0,677","0,677",True
T2,D-6m,15Y,S&P 500 em BRL (PR),sortino,"1,147","1,147",True
T2,D-6m,15Y,S&P 500 em BRL (PR),neg,"35,91","35,91",True
T2,D-6m,15Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-6m,15Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-6m,15Y,S&P 500 em BRL (PR),N,181,181,True
T2,D-6m,15Y,S&P 500 em BRL (TR),vol,"16,73","16,73",True
T2,D-6m,15Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D-6m,15Y,S&P 500 em BRL (TR),sharpe,"0,788","0,788",True
T2,D-6m,15Y,S&P 500 em BRL (TR),sortino,"1,373","1,373",True
T2,D-6m,15Y,S&P 500 em BRL (TR),neg,"34,81","34,81",True
T2,D-6m,15Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-6m,15Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-6m,15Y,S&P 500 em BRL (TR),N,181,181,True
T2,D-6m,20Y,Portfólio A (TR),vol,"19,46","19,46",True
T2,D-6m,20Y,Portfólio A (TR),dd,"-39,68","-39,68",True
T2,D-6m,20Y,Portfólio A (TR),sharpe,"0,210","0,210",True
T2,D-6m,20Y,Portfólio A (TR),sortino,"0,303","0,303",True
T2,D-6m,20Y,Portfólio A (TR),neg,"39,83","39,83",True
T2,D-6m,20Y,Portfólio A (TR),worst,"-23,79","-23,79",True
T2,D-6m,20Y,Portfólio A (TR),best,"16,74","16,74",True
T2,D-6m,20Y,Portfólio A (TR),N,241,241,True
T2,D-6m,20Y,Portfólio B (TR),vol,"22,22","22,22",True
T2,D-6m,20Y,Portfólio B (TR),dd,"-47,53","-47,53",True
T2,D-6m,20Y,Portfólio B (TR),sharpe,"0,289","0,289",True
T2,D-6m,20Y,Portfólio B (TR),sortino,"0,403","0,403",True
T2,D-6m,20Y,Portfólio B (TR),neg,"38,17","38,17",True
T2,D-6m,20Y,Portfólio B (TR),worst,"-27,87","-27,87",True
T2,D-6m,20Y,Portfólio B (TR),best,"17,77","17,77",True
T2,D-6m,20Y,Portfólio B (TR),N,241,241,True
T2,D-6m,20Y,Portfólio C (TR),vol,"25,11","25,11",True
T2,D-6m,20Y,Portfólio C (TR),dd,"-50,63","-50,63",True
T2,D-6m,20Y,Portfólio C (TR),sharpe,"0,239","0,239",True
T2,D-6m,20Y,Portfólio C (TR),sortino,"0,348","0,348",True
T2,D-6m,20Y,Portfólio C (TR),neg,"43,98","43,98",True
T2,D-6m,20Y,Portfólio C (TR),worst,"-31,76","-31,76",True
T2,D-6m,20Y,Portfólio C (TR),best,"22,83","22,83",True
T2,D-6m,20Y,Portfólio C (TR),N,241,241,True
T2,D-6m,20Y,CDI (TR),vol,"0,98","0,98",True
T2,D-6m,20Y,CDI (TR),dd,"0,00","0,00",True
T2,D-6m,20Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-6m,20Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-6m,20Y,CDI (TR),neg,"0,00","0,00",True
T2,D-6m,20Y,CDI (TR),worst,"0,13","0,13",True
T2,D-6m,20Y,CDI (TR),best,"1,50","1,50",True
T2,D-6m,20Y,CDI (TR),N,241,241,True
T2,D-6m,20Y,Ibovespa (TR),vol,"22,02","22,02",True
T2,D-6m,20Y,Ibovespa (TR),dd,"-49,59","-49,59",True
T2,D-6m,20Y,Ibovespa (TR),sharpe,"0,034","0,034",True
T2,D-6m,20Y,Ibovespa (TR),sortino,"0,046","0,046",True
T2,D-6m,20Y,Ibovespa (TR),neg,"42,74","42,74",True
T2,D-6m,20Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D-6m,20Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D-6m,20Y,Ibovespa (TR),N,241,241,True
T2,D-6m,20Y,S&P 500 em BRL (PR),vol,"16,59","16,59",True
T2,D-6m,20Y,S&P 500 em BRL (PR),dd,"-42,78","-42,78",True
T2,D-6m,20Y,S&P 500 em BRL (PR),sharpe,"0,248","0,248",True
T2,D-6m,20Y,S&P 500 em BRL (PR),sortino,"0,376","0,376",True
T2,D-6m,20Y,S&P 500 em BRL (PR),neg,"40,25","40,25",True
T2,D-6m,20Y,S&P 500 em BRL (PR),worst,"-13,59","-13,59",True
T2,D-6m,20Y,S&P 500 em BRL (PR),best,"17,63","17,63",True
T2,D-6m,20Y,S&P 500 em BRL (PR),N,241,241,True
T2,D-6m,20Y,S&P 500 em BRL (TR),vol,"16,63","16,63",True
T2,D-6m,20Y,S&P 500 em BRL (TR),dd,"-40,03","-40,03",True
T2,D-6m,20Y,S&P 500 em BRL (TR),sharpe,"0,364","0,364",True
T2,D-6m,20Y,S&P 500 em BRL (TR),sortino,"0,566","0,566",True
T2,D-6m,20Y,S&P 500 em BRL (TR),neg,"39,00","39,00",True
T2,D-6m,20Y,S&P 500 em BRL (TR),worst,"-13,49","-13,49",True
T2,D-6m,20Y,S&P 500 em BRL (TR),best,"17,77","17,77",True
T2,D-6m,20Y,S&P 500 em BRL (TR),N,241,241,True
T2,D-6m,25Y,Portfólio A (TR),vol,"21,60","21,60",True
T2,D-6m,25Y,Portfólio A (TR),dd,"-43,66","-43,66",True
T2,D-6m,25Y,Portfólio A (TR),sharpe,"0,306","0,306",True
T2,D-6m,25Y,Portfólio A (TR),sortino,"0,462","0,462",True
T2,D-6m,25Y,Portfólio A (TR),neg,"42,19","42,19",True
T2,D-6m,25Y,Portfólio A (TR),worst,"-24,67","-24,67",True
T2,D-6m,25Y,Portfólio A (TR),best,"21,70","21,70",True
T2,D-6m,25Y,Portfólio A (TR),N,301,301,True
T2,D-6m,25Y,Portfólio B (TR),vol,"22,60","22,60",True
T2,D-6m,25Y,Portfólio B (TR),dd,"-52,50","-52,50",True
T2,D-6m,25Y,Portfólio B (TR),sharpe,"0,273","0,273",True
T2,D-6m,25Y,Portfólio B (TR),sortino,"0,392","0,392",True
T2,D-6m,25Y,Portfólio B (TR),neg,"39,87","39,87",True
T2,D-6m,25Y,Portfólio B (TR),worst,"-27,36","-27,36",True
T2,D-6m,25Y,Portfólio B (TR),best,"20,78","20,78",True
T2,D-6m,25Y,Portfólio B (TR),N,301,301,True
T2,D-6m,25Y,Portfólio C (TR),vol,"25,95","25,95",True
T2,D-6m,25Y,Portfólio C (TR),dd,"-55,35","-55,35",True
T2,D-6m,25Y,Portfólio C (TR),sharpe,"0,295","0,295",True
T2,D-6m,25Y,Portfólio C (TR),sortino,"0,439","0,439",True
T2,D-6m,25Y,Portfólio C (TR),neg,"42,52","42,52",True
T2,D-6m,25Y,Portfólio C (TR),worst,"-32,44","-32,44",True
T2,D-6m,25Y,Portfólio C (TR),best,"23,04","23,04",True
T2,D-6m,25Y,Portfólio C (TR),N,301,301,True
T2,D-6m,25Y,CDI (TR),vol,"1,28","1,28",True
T2,D-6m,25Y,CDI (TR),dd,"0,00","0,00",True
T2,D-6m,25Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D-6m,25Y,CDI (TR),sortino,"0,000","0,000",True
T2,D-6m,25Y,CDI (TR),neg,"0,00","0,00",True
T2,D-6m,25Y,CDI (TR),worst,"0,13","0,13",True
T2,D-6m,25Y,CDI (TR),best,"2,08","2,08",True
T2,D-6m,25Y,CDI (TR),N,301,301,True
T2,D-6m,25Y,Ibovespa (TR),vol,"23,73","23,73",True
T2,D-6m,25Y,Ibovespa (TR),dd,"-51,21","-51,21",True
T2,D-6m,25Y,Ibovespa (TR),sharpe,"-0,003","-0,003",True
