bundle_version,cut,window,series,series_label,report_id,start_date,end_date,years,total_return,cagr,vol_ann,sharpe_excess_cdi,sortino_excess_cdi,max_drawdown,pct_neg_months,worst_month,best_month,N_months,pdf_md5,total_return_recalc_from_monthly_index,total_return_abs_diff,cagr_recalc_from_monthly_index,cagr_abs_diff
v13b1,D0,10Y,CDI,CDI (TR),REL_IND_D0_CDI_10Y,2016-02-10,2026-02-10,10.00136892539357,1.4462,0.09380000000000001,0.011379128349020018,0.0,0.0,0.0,0.0,0.0013,0.0128,121.0,85a1f4e0ee93b40ec1902e40bd59870b,1.4459728362926483,0.00022716370735165192,0.09355302452020209,0.0002469754797979201
v13b1,D0,10Y,IBOV,Ibovespa (TR),REL_IND_D0_IBOV_10Y,2016-02-10,2026-02-10,10.00136892539357,3.6049,0.1674,0.21700939751902507,0.4038993135595175,0.5343942081018649,-0.36855736290999963,0.36363636363636365,-0.299,0.1697,121.0,617a48f47a414360a69b1ff67b636ebb,3.603599905710314,0.0013000942896863599,0.16493228415881966,0.002467715841180329
v13b1,D0,10Y,PA,Portfólio A (TR),REL_IND_D0_PA_10Y,2016-02-10,2026-02-10,10.00136892539357,7.654500000000001,0.2444,0.22733440566707008,0.6706964344789373,1.0389728849275381,-0.3355487111679999,0.34710743801652894,-0.2522,0.2442,121.0,f5b32381ac48d557d490551cf12bb114,7.6494357736677365,0.005064226332264887,0.2407547683435236,0.0036452316564764
v13b1,D0,10Y,PB,Portfólio B (TR),REL_IND_D0_PB_10Y,2016-02-10,2026-02-10,10.00136892539357,9.0966,0.264,0.22088308773258533,0.7564512580128567,1.062815149854583,-0.3123249199999999,0.33884297520661155,-0.2631,0.1944,121.0,ad526b56a4c0514658ea40c68777dfd3,9.0931738686145,0.0034261313855008524,0.2600536391085415,0.0039463608914585
v13b1,D0,10Y,PC,Portfólio C (TR),REL_IND_D0_PC_10Y,2016-02-10,2026-02-10,10.00136892539357,8.975900000000001,0.2625,0.2818007223917211,0.6414227426559218,0.9369517411205505,-0.37371366595,0.4132231404958678,-0.3066,0.2955,121.0,06d7379ad8829de6d61ff04c71b16b1b,8.97640610944875,0.0005061094487484041,0.2585884404201171,0.003911559579882928
v13b1,D0,10Y,SP500_PR,S&P 500 BRL (Price Return),REL_IND_D0_SP500_PR_10Y,2016-02-10,2026-02-10,10.00136892539357,3.9478,0.1738,0.17305307397796532,0.4849478050630728,0.7857081375379833,-0.271285746632132,0.3884297520661157,-0.1359,0.1763,121.0,184364bc00ac4e173a652787ac5f98a4,3.9458944467965855,0.0019055532034144562,0.17331597019817835,0.00048402980182166155
v13b1,D0,10Y,SP500_TR,S&P 500 BRL (Total Return),REL_IND_D0_SP500_TR_10Y,2016-02-10,2026-02-10,10.00136892539357,4.8757,0.1941,0.17359581792197645,0.5823063300993908,0.9492460974434928,-0.2624106304995526,0.38016528925619836,-0.1349,0.1777,121.0,c49af0b6efa367482391ecbfcf79b7d0,4.876994744000528,0.0012947440005275368,0.1937269603020395,0.00037303969796048664
v13b1,D0,15Y,CDI,CDI (TR),REL_IND_D0_CDI_15Y,2011-02-10,2026-02-10,15.00068446269678,3.0191,0.0975,0.010074066773790974,0.0,0.0,0.0,0.0,0.0013,0.0128,181.0,9127f769c1b62ea46bb4f37a8ae7c109,3.0192073404032023,0.0001073404032023717,0.09717067073566388,0.00032932926433612564
v13b1,D0,15Y,IBOV,Ibovespa (TR),REL_IND_D0_IBOV_15Y,2011-02-10,2026-02-10,15.00068446269678,1.8792,0.0742,0.21092579254203203,0.001507329275422041,0.0021960456040977694,-0.4109513456799273,0.43646408839779005,-0.299,0.1697,181.0,cbbeb5b027c3c616e1b0612bb205265a,1.8779070515395109,0.0012929484604891073,0.07300988055307411,0.0011901194469258886
v13b1,D0,15Y,PA,Portfólio A (TR),REL_IND_D0_PA_15Y,2011-02-10,2026-02-10,15.00068446269678,4.8876,0.1276,0.1895576287635709,0.2286194908738968,0.3504652052418424,-0.3324228505108936,0.39779005524861877,-0.233,0.1697,181.0,03e2a96579e71062beebc4a09f5570a8,4.886565353657705,0.001034646342294998,0.12543855616286237,0.002161443837137622
v13b1,D0,15Y,PB,Portfólio B (TR),REL_IND_D0_PB_15Y,2011-02-10,2026-02-10,15.00068446269678,6.277699999999999,0.1439,0.21095848259203095,0.29494304052755865,0.4146097656678567,-0.31693412,0.40331491712707185,-0.2748,0.1808,181.0,7ae63fe65b1dfb85f415c4cbc3b3df0a,6.27767412717885,2.587282114951961e-05,0.1414675022492684,0.0024324977507315937
v13b1,D0,15Y,PC,Portfólio C (TR),REL_IND_D0_PC_15Y,2011-02-10,2026-02-10,15.00068446269678,4.8131,0.1266,0.23724238358105226,0.22383290762200514,0.3293109482107454,-0.426137208786072,0.425414364640884,-0.328,0.1969,181.0,a25080422ffea70dc0b71e087a12adf8,4.813391103454203,0.00029110345420235717,0.12450047730643243,0.002099522693567557
v13b1,D0,15Y,SP500_PR,S&P 500 BRL (Price Return),REL_IND_D0_SP500_PR_15Y,2011-02-10,2026-02-10,15.00068446269678,15.3782,0.2054,0.16569929714849863,0.6421437252738935,1.1054808050267952,-0.2712857466321321,0.3701657458563536,-0.1359,0.1763,181.0,4e122cccaeab6e4e7d2c8b946ebd5222,15.36890956162243,0.009290438377568933,0.2048443821401158,0.0005556178598841999
