bundle_version,cut,window,series,series_label,vol_ann,sharpe_excess_cdi,sortino_excess_cdi,max_drawdown,pct_neg_months,worst_month,best_month,N_months,report_id
v13b1,D0,20Y,SP500_PR,S&P 500 BRL (Price Return),0.164746649491491,0.27354594671522325,0.4482993887223355,-0.42783294191088794,0.3983402489626556,-0.1359,0.1763,241.0,REL_IND_D0_SP500_PR_20Y
v13b1,D0,20Y,SP500_TR,S&P 500 BRL (Total Return),0.16517958689048473,0.3891668418047978,0.6471772974582418,-0.4003413610637757,0.38589211618257263,-0.1349,0.1777,241.0,REL_IND_D0_SP500_TR_20Y
v13b1,D0,25Y,PA,Portfólio A (TR),0.21442462214197996,0.3203011261348425,0.47881696523155043,-0.44219098274972823,0.4186046511627907,-0.2482,0.2114,301.0,REL_IND_D0_PA_25Y
v13b1,D0,25Y,PB,Portfólio B (TR),0.22572828728598263,0.3057398266199359,0.4283854135977524,-0.5247817576568636,0.3853820598006645,-0.2744,0.2084,301.0,REL_IND_D0_PB_25Y
v13b1,D0,25Y,PC,Portfólio C (TR),0.25395953615485023,0.3136225710454564,0.45763348988221647,-0.5577921483097168,0.4119601328903654,-0.3263,0.213,301.0,REL_IND_D0_PC_25Y
v13b1,D0,25Y,CDI,CDI (TR),0.01283776240322256,0.0,0.0,0.0,0.0,0.0013,0.0208,301.0,REL_IND_D0_CDI_25Y
v13b1,D0,25Y,IBOV,Ibovespa (TR),0.23247562706672376,0.046444853460341454,0.06767447722850965,-0.4958952492027713,0.42857142857142855,-0.299,0.1792,301.0,REL_IND_D0_IBOV_25Y
v13b1,D0,25Y,SP500_PR,S&P 500 BRL (Price Return),0.16706958493782068,0.035058203356099285,0.05817666376189421,-0.5067819433416054,0.4219269102990033,-0.1359,0.1763,301.0,REL_IND_D0_SP500_PR_25Y
v13b1,D0,25Y,SP500_TR,S&P 500 BRL (Total Return),0.16750243537873505,0.14632153056343183,0.24694096706685723,-0.45822296554644304,0.4119601328903654,-0.1349,0.1777,301.0,REL_IND_D0_SP500_TR_25Y
v13b1,D6M,5Y,PA,Portfólio A (TR),0.17355896224928627,0.4114246283281349,1.0251636069445633,-0.10751929999999976,0.4262295081967213,-0.0713,0.1801,61.0,REL_IND_D6M_PA_5Y
v13b1,D6M,5Y,PB,Portfólio B (TR),0.1831636586118152,0.28772314704505825,0.5916390745574702,-0.12833674000000062,0.39344262295081966,-0.0882,0.1735,61.0,REL_IND_D6M_PB_5Y
v13b1,D6M,5Y,PC,Portfólio C (TR),0.2125500249700152,0.4308104593158788,0.9698336520151272,-0.17007387548124597,0.47540983606557374,-0.1006,0.1939,61.0,REL_IND_D6M_PC_5Y
