bundle_version,cut,window,series,series_label,vol_ann,sharpe_excess_cdi,sortino_excess_cdi,max_drawdown,pct_neg_months,worst_month,best_month,N_months,report_id
v13b3,D0,10Y,CDI,CDI,0.011379128349020018,0.0,0.0,0.0,0.0,0.0013,0.0128,121,REL_IND_D0_CDI_10Y.pdf
v13b3,D0,10Y,IBOV,IBOV,0.21700939751902507,0.40389931355951747,0.5889128366056521,-0.36855736290999996,0.36363636363636365,-0.299,0.1697,121,REL_IND_D0_IBOV_10Y.pdf
v13b3,D0,10Y,PA,Portfólio A,0.22733440566707008,0.6706964344789373,1.1367542164409707,-0.3355487111680001,0.34710743801652894,-0.2522,0.24420000000000003,121,REL_IND_D0_PA_10Y.pdf
v13b3,D0,10Y,PB,Portfólio B,0.22088308773258533,0.7564512580128565,1.2142109451454435,-0.3123249199999999,0.33884297520661155,-0.2631,0.19440000000000002,121,REL_IND_D0_PB_10Y.pdf
v13b3,D0,10Y,PC,Portfólio C,0.2818007223917211,0.6414227426559218,1.058789205344954,-0.37371366595,0.4132231404958678,-0.3066,0.2955,121,REL_IND_D0_PC_10Y.pdf
v13b3,D0,10Y,SP500_PR,SP500_PR,0.17305307397796532,0.4849478050630728,0.7731523266076893,-0.271285746632132,0.3884297520661157,-0.1359,0.17629999999999998,121,REL_IND_D0_SP500_PR_10Y.pdf
v13b3,D0,10Y,SP500_TR,SP500_TR,0.17359581792197645,0.5823063300993907,0.9507012831551003,-0.2624106304995526,0.38016528925619836,-0.1349,0.1777,121,REL_IND_D0_SP500_TR_10Y.pdf
v13b3,D0,15Y,CDI,CDI,0.010074066773790974,0.0,0.0,0.0,0.0,0.0013,0.0128,181,REL_IND_D0_CDI_15Y.pdf
v13b3,D0,15Y,IBOV,IBOV,0.21092579254203203,0.0015073292754220582,0.0020828770015049536,-0.4109513456799274,0.43646408839779005,-0.299,0.1697,181,REL_IND_D0_IBOV_15Y.pdf
v13b3,D0,15Y,PA,Portfólio A,0.1895576287635709,0.22861949087389663,0.33922006866138177,-0.33242285051089326,0.39779005524861877,-0.233,0.1697,181,REL_IND_D0_PA_15Y.pdf
v13b3,D0,15Y,PB,Portfólio B,0.21095848259203095,0.2949430405275587,0.4241384009337446,-0.31693412,0.40331491712707185,-0.2748,0.1808,181,REL_IND_D0_PB_15Y.pdf
v13b3,D0,15Y,PC,Portfólio C,0.23724238358105226,0.22383290762200522,0.325652472401463,-0.42613720878607153,0.425414364640884,-0.32799999999999996,0.19690000000000002,181,REL_IND_D0_PC_15Y.pdf
v13b3,D0,15Y,SP500_PR,SP500_PR,0.16569929714849863,0.6421437252738935,1.0922167910825493,-0.2712857466321321,0.3701657458563536,-0.1359,0.17629999999999998,181,REL_IND_D0_SP500_PR_15Y.pdf
v13b3,D0,15Y,SP500_TR,SP500_TR,0.1662983436295222,0.7522819921570351,1.3155991567339094,-0.2624106304995527,0.35911602209944754,-0.1349,0.1777,181,REL_IND_D0_SP500_TR_15Y.pdf
v13b3,D0,20Y,CDI,CDI,0.009436488287669279,0.0,0.0,0.0,0.0,0.0013,0.014199999999999999,241,REL_IND_D0_CDI_20Y.pdf
v13b3,D0,20Y,IBOV,IBOV,0.21807040858306534,0.03642550480845815,0.049975906097799984,-0.4958952492027713,0.42323651452282157,-0.299,0.1697,241,REL_IND_D0_IBOV_20Y.pdf
v13b3,D0,20Y,PA,Portfólio A,0.18554764550119557,0.19396466444175994,0.2745248708191001,-0.3937477587245122,0.3900414937759336,-0.23079999999999998,0.1631,241,REL_IND_D0_PA_20Y.pdf
v13b3,D0,20Y,PB,Portfólio B,0.2137344885541647,0.28712339656680486,0.3976247955542743,-0.4708881851835963,0.3900414937759336,-0.2772,0.18100000000000002,241,REL_IND_D0_PB_20Y.pdf
v13b3,D0,20Y,PC,Portfólio C,0.24018716556484587,0.21350405292122224,0.3026051962508341,-0.519131440602921,0.4315352697095436,-0.3173,0.1972,241,REL_IND_D0_PC_20Y.pdf
v13b3,D0,20Y,SP500_PR,SP500_PR,0.164746649491491,0.27354594671522325,0.4157524866128916,-0.42783294191088805,0.3983402489626556,-0.1359,0.17629999999999998,241,REL_IND_D0_SP500_PR_20Y.pdf
v13b3,D0,20Y,SP500_TR,SP500_TR,0.16517958689048473,0.3891668418047978,0.608195745016294,-0.40034136106377594,0.38589211618257263,-0.1349,0.1777,241,REL_IND_D0_SP500_TR_20Y.pdf
v13b3,D0,25Y,CDI,CDI,0.01283776240322256,0.0,0.0,0.0,0.0,0.0013,0.0208,301,REL_IND_D0_CDI_25Y.pdf
v13b3,D0,25Y,IBOV,IBOV,0.23247562706672376,0.04644485346034151,0.06407106309090144,-0.4958952492027713,0.42857142857142855,-0.299,0.17920000000000003,301,REL_IND_D0_IBOV_25Y.pdf
v13b3,D0,25Y,PA,Portfólio A,0.21442462214197996,0.3203011261348425,0.479778296315089,-0.44219098274972823,0.4186046511627907,-0.2482,0.2114,301,REL_IND_D0_PA_25Y.pdf
v13b3,D0,25Y,PB,Portfólio B,0.22572828728598263,0.3057398266199359,0.43942207322849824,-0.5247817576568636,0.3853820598006645,-0.27440000000000003,0.2084,301,REL_IND_D0_PB_25Y.pdf
v13b3,D0,25Y,PC,Portfólio C,0.25395953615485023,0.3136225710454563,0.46200276130764595,-0.5577921483097166,0.4119601328903654,-0.32630000000000003,0.213,301,REL_IND_D0_PC_25Y.pdf
v13b3,D0,25Y,SP500_PR,SP500_PR,0.16706958493782068,0.035058203356099396,0.05064018299991119,-0.5067819433416054,0.4219269102990033,-0.1359,0.17629999999999998,301,REL_IND_D0_SP500_PR_25Y.pdf
v13b3,D0,25Y,SP500_TR,SP500_TR,0.16750243537873505,0.14632153056343192,0.21701514012463885,-0.45822296554644293,0.4119601328903654,-0.1349,0.1777,301,REL_IND_D0_SP500_TR_25Y.pdf
v13b3,D0,5Y,CDI,CDI,0.010103292759796875,0.0,0.0,0.0,0.0,0.0007000000000000001,0.0128,61,REL_IND_D0_CDI_5Y.pdf
v13b3,D0,5Y,IBOV,IBOV,0.17571576041726134,-0.006437984379447983,-0.008962667594841892,-0.2228668689503719,0.39344262295081966,-0.115,0.12560000000000002,61,REL_IND_D0_IBOV_5Y.pdf
v13b3,D0,5Y,PA,Portfólio A,0.15564661044899852,0.5065288331378888,0.8813374642367545,-0.06930000000000003,0.3770491803278688,-0.0935,0.1364,61,REL_IND_D0_PA_5Y.pdf
v13b3,D0,5Y,PB,Portfólio B,0.173694931171736,0.5478473907420653,0.8825609966166684,-0.11345797000000013,0.32786885245901637,-0.0989,0.12960000000000002,61,REL_IND_D0_PB_5Y.pdf
v13b3,D0,5Y,PC,Portfólio C,0.18346657782911815,0.48005290814427354,0.7881275269161035,-0.11906488992499997,0.39344262295081966,-0.0909,0.1451,61,REL_IND_D0_PC_5Y.pdf
v13b3,D0,5Y,SP500_PR,SP500_PR,0.15643069800614112,0.07984549028005956,0.11733871864754421,-0.2712857466321318,0.45901639344262296,-0.09050000000000001,0.1092,61,REL_IND_D0_SP500_PR_5Y.pdf
v13b3,D0,5Y,SP500_TR,SP500_TR,0.1566279161935941,0.17235842234125504,0.2591026840579352,-0.2624106304995526,0.45901639344262296,-0.0897,0.1101,61,REL_IND_D0_SP500_TR_5Y.pdf
v13b3,D12M,10Y,CDI,CDI,0.011146094449967813,0.0,0.0,0.0,0.0,0.0013,0.0121,121,REL_IND_D12M_CDI_10Y.pdf
v13b3,D12M,10Y,IBOV,IBOV,0.22028438099964484,0.14280462951057896,0.20145887881607769,-0.36855736290999996,0.4214876033057851,-0.299,0.1697,121,REL_IND_D12M_IBOV_10Y.pdf
v13b3,D12M,10Y,PA,Portfólio A,0.2267086535695225,0.38976897718388603,0.6132319959508623,-0.346552488814137,0.39669421487603307,-0.2516,0.21539999999999998,121,REL_IND_D12M_PA_10Y.pdf
v13b3,D12M,10Y,PB,Portfólio B,0.22327670443600164,0.47215041317334583,0.7071506534669098,-0.32176764,0.39669421487603307,-0.2774,0.1602,121,REL_IND_D12M_PB_10Y.pdf
v13b3,D12M,10Y,PC,Portfólio C,0.30050269348774294,0.41302204120701125,0.6478952242448455,-0.4138821151972588,0.4297520661157025,-0.3187,0.2666,121,REL_IND_D12M_PC_10Y.pdf
v13b3,D12M,10Y,SP500_PR,SP500_PR,0.17741793102145534,0.5959002702749057,0.9800603643779037,-0.2712857466321318,0.3884297520661157,-0.1359,0.17629999999999998,121,REL_IND_D12M_SP500_PR_10Y.pdf
v13b3,D12M,10Y,SP500_TR,SP500_TR,0.1779349836688197,0.6960858253460938,1.1732329433600206,-0.2624106304995526,0.371900826446281,-0.1349,0.1777,121,REL_IND_D12M_SP500_TR_10Y.pdf
v13b3,D12M,15Y,CDI,CDI,0.009561422642399665,0.0,0.0,0.0,0.0,0.0013,0.0121,181,REL_IND_D12M_CDI_15Y.pdf
v13b3,D12M,15Y,IBOV,IBOV,0.21123338796584346,-0.11129623436004296,-0.15163490588276657,-0.4283659685685477,0.46408839779005523,-0.299,0.1697,181,REL_IND_D12M_IBOV_15Y.pdf
v13b3,D12M,15Y,PA,Portfólio A,0.18209286390893017,0.1564395881449636,0.22883583790957393,-0.3035289435744227,0.3867403314917127,-0.2217,0.157,181,REL_IND_D12M_PA_15Y.pdf
v13b3,D12M,15Y,PB,Portfólio B,0.20862602391924548,0.18546124801300562,0.26064809596553473,-0.31902003999999995,0.425414364640884,-0.2764,0.19039999999999999,181,REL_IND_D12M_PB_15Y.pdf
v13b3,D12M,15Y,PC,Portfólio C,0.22576594211435994,0.19852358218870442,0.2831943063948191,-0.39163573000000007,0.44751381215469616,-0.32770000000000005,0.17579999999999998,181,REL_IND_D12M_PC_15Y.pdf
v13b3,D12M,15Y,SP500_PR,SP500_PR,0.1652746954101255,0.6930214263959203,1.1800890059323523,-0.271285746632132,0.35911602209944754,-0.1359,0.17629999999999998,181,REL_IND_D12M_SP500_PR_15Y.pdf
v13b3,D12M,15Y,SP500_TR,SP500_TR,0.16580173906722567,0.8066004272915704,1.4127943270822938,-0.2624106304995526,0.34806629834254144,-0.1349,0.1777,181,REL_IND_D12M_SP500_TR_15Y.pdf
